Epoch Time,Z1 Smp Temp,Z1 BlkTemp,Z1 HeatSink,Z1 QPID,Z1 Iset,Z1 Imea,Z1 Vset,Z1 Vmea,Z1 ControlState,Z1 PID0 SP,Z1 PID0PV,Z1 PID0I,Z1 PID0 M,Z1 PID0 B,Z1 PID0 Y,Z1 PID0 FFWD,Z1 PID0 DT,Z1 PID1 SP,Z1 PID1 PV,Z1 PID1 I,Z1 PID1 M,Z1 PID1 B,Z1 PID1 Y,Z1 PID1 FFWD,Cover Temperature
0,60.0019,60.0148,32.639,-27.6507,.2316,.1827,2.3202,.368,4,30,30.0061,.1267,-32.8653,-7.0113,30.006,-25,.0008,,26.4649,5.8,,,29.9795,-25,104.959
0.700000047683716,60.0036,60.0537,32.4294,-7.8582,1.4791,1.5231,5.3326,1.5714,,.1002,.005,.0104,-3.9291,.4496,.0049,-7.5,.0008,,,4.8,,,,,105.049
0.900000095367432,60.0079,60.1583,32.3768,-8.4916,1.4448,1.7568,5.2577,1.7702,,.1002,.0192,.0104,-4.2458,.61,.0191,-7.5,.0008,,,4.8,,,,,104.959
1.10000014305115,60.0175,60.2848,32.3242,-9.8956,1.3649,1.6305,5.0738,1.5446,,.1002,.044,.0104,-4.9478,.7301,.0439,-7.5,.0008,,,4.8,,,,,105.004
1.30200004577637,60.0332,60.4623,32.3242,-11.6954,1.2683,1.5956,4.8594,1.4318,,.1002,.0733,.0104,-5.8477,.7987,.0731,-7.5,.0008,,,4.8,,,,,105.027
1.5,60.0493,60.6568,32.3768,-13.851,1.1334,1.2867,4.5386,1.3995,,.1002,.1063,.0104,-6.9255,.8091,.1061,-7.5,.0008,,,4.8,,,,,104.959
1.70000004768372,60.0768,60.7835,32.5343,-16.1022,.9997,1.2571,4.2272,1.053,,.1002,.1391,.0104,-8.0511,.7572,.1389,-7.5,.0008,,,4.8,,,,,105.072
1.90000009536743,60.1101,60.9589,32.3242,-18.1883,.8778,1.0503,3.9474,1.1363,,.1002,.1676,.0104,-9.0942,.65,.1675,-7.5,.0008,,,4.8,,,,,104.936
2.10000014305115,60.1483,61.1074,32.2187,-19.6545,.7653,.8166,3.689,.9858,,.1001,.1921,.0104,-10.0481,.4956,.1919,-7.5,.0008,,,4.8,,,,,104.982
2.30200004577637,60.1909,61.2412,32.2187,-21.7873,.6515,.9321,3.4122,.8354,,.1001,.212,.0104,-10.8936,.2998,.2119,-7.5,.0009,,,4.8,,,,,105.072
2.5,60.2368,61.3654,32.3768,-23.0012,.5831,.6286,3.2135,.8005,,.1,.2282,.0104,-11.6549,.0727,.2282,-7.5,.0008,,,4.8,,,,,104.982
2.70000004768372,60.2847,61.4435,32.1659,-24.2208,.5129,.7575,3.1017,.6904,,.0999,.2383,.0104,-12.2348,-.1778,.2383,-7.5,.0008,,,4.8,,,,,105.027
2.90000009536743,60.3338,61.5044,32.2715,-25.1617,.4598,.6527,2.9838,.6554,,.0998,.2439,.0104,-12.6805,-.4406,.2439,-7.5,.0008,,,4.8,,,,,105.004
3.10000014305115,60.3834,61.5702,32.2715,-25.8411,.408,.6823,2.8532,.6232,,.0997,.2455,.0104,-13.0014,-.708,.2455,-7.5,.0008,,,4.8,,,,,105.072
3.29999995231628,60.4327,61.597,32.2715,-26.3897,.3855,.5292,2.8037,.599,,.0996,.2443,.0104,-13.2269,-.975,.2443,-7.5,.0008,,,4.8,,,,,104.891
3.5,60.481,61.6214,32.2187,-26.575,.3646,.6339,2.7547,.5534,,.0996,.2385,.0104,-13.2972,-1.2353,.2386,-7.5,.0008,,,4.8,,,,,105.027
3.70000004768372,60.5277,61.6237,32.1131,-26.5763,.3646,.5104,2.7549,.5748,,.0995,.2306,.0104,-13.2831,-1.4827,.2306,-7.5,.0009,,,4.8,,,,,105.049
3.90000009536743,60.5729,61.6384,32.2187,-26.5522,.3793,.6044,2.8045,.4969,,.0994,.2235,.0104,-13.2888,-1.714,.2236,-7.5,.0008,,,4.8,,,,,105.072
4.10000014305115,60.6162,61.6311,32.0601,-26.4053,.3793,.5211,2.7942,.5937,,.0994,.2128,.0104,-13.1487,-1.9303,.2129,-7.5,.0008,,,4.8,,,,,105.049
4.29999995231628,60.6573,61.6214,32.0071,-26.1767,.394,.6339,2.8293,.642,,.0993,.2036,.0104,-13.0449,-2.1285,.2036,-7.5,.0009,,,4.8,,,,,105.049
4.49900007247925,60.6967,61.6214,32.1659,-25.861,.4148,.4943,2.8797,.6554,,.0992,.1959,.0104,-12.9305,-2.2653,.1959,-7.5,.0008,,,4.8,,,,,105.004
4.69900012016296,60.734,61.6164,32.1659,-25.5697,.4307,.6716,2.9145,.6098,,.0992,.1862,.0104,-12.7848,-2.4315,.1863,-7.5,.0008,,,4.8,,,,,105.072
4.8989999294281,60.7692,61.597,32.1659,-25.1884,.4645,.6125,3.0047,.7199,,.0992,.176,.0104,-12.5942,-2.5791,.1761,-7.5,.0008,,,4.8,,,,,105.049
5.09899997711182,60.8027,61.592,32.0601,-24.8621,.4889,.736,3.0666,.556,,.0991,.167,.0104,-12.431,-2.7093,.167,-7.5,.0008,,,4.8,,,,,105.027
5.29900002479553,60.8347,61.5727,32.0601,-24.6398,.5123,.6527,3.1315,.5963,,.0991,.16,.0104,-12.3199,-2.8259,.1601,-7.5,.0008,,,4.8,,,,,104.982
5.49900007247925,60.8656,61.5897,31.954,-24.4025,.522,.7817,3.1499,.7871,,.099,.1531,.0104,-12.2012,-2.9301,.1532,-7.5,.0008,,,4.8,,,,,104.982
5.69900012016296,60.8954,61.597,32.0601,-24.2592,.5221,.7253,3.141,.7575,,.099,.148,.0104,-12.1296,-3.0237,.148,-7.5,.0008,,,4.8,,,,,105.027
5.8989999294281,60.924,61.6019,32.0601,-24.0534,.5516,.736,3.2286,.7871,,.099,.1423,.0104,-12.0267,-3.1064,.1423,-7.5,.0008,,,4.8,,,,,104.982
6.10000014305115,60.952,61.6262,31.954,-24.034,.541,.7468,3.1919,.7817,,.099,.1396,.0104,-12.017,-3.1826,.1396,-7.5,.0008,,,4.8,,,,,104.982
6.29900002479553,60.9791,61.6237,31.954,-23.9032,.5526,.7897,3.223,.8166,,.0989,.1355,.0104,-11.9516,-3.2521,.1355,-7.5,.0008,,,4.8,,,,,105.027
6.49900007247925,61.0058,61.6361,31.8477,-23.8099,.5654,.8354,3.2614,.7844,,.0989,.1322,.0104,-11.9049,-3.3151,.1322,-7.5,.0008,,,4.8,,,,,104.982
6.69900012016296,61.0322,61.6651,32.1131,-23.8516,.5605,.7602,3.2484,.822,,.0989,.1309,.0104,-11.9258,-3.3742,.1309,-7.5,.0008,,,4.8,,,,,105.004
6.8989999294281,61.0582,61.6872,31.954,-23.8667,.5571,.8166,3.2385,.6769,,.0989,.1294,.0104,-11.9333,-3.4314,.1294,-7.5,.0008,,,4.8,,,,,105.004
7.09899997711182,61.0837,61.6872,32.0601,-23.8181,.5666,.685,3.2679,.8354,,.0989,.1271,.0104,-11.9091,-3.4844,.1271,-7.5,.0008,,,4.8,,,,,105.027
7.30100011825562,61.1093,61.7285,31.8477,-23.8601,.559,.822,3.2459,.83,,.0989,.1261,.0104,-11.9301,-3.5344,.126,-7.5,.0008,,,4.8,,,,,105.027
7.49900007247925,61.1285,61.7382,31.9008,-24.0168,.546,.6581,3.2119,.693,,.0988,.1269,.0104,-12.0084,-3.5859,.1269,-7.5,.0008,,,4.8,,,,,105.049
7.69900012016296,61.1534,61.7506,31.7944,-23.8514,.5827,.7978,3.3273,.8435,,.0988,.123,.0104,-11.9257,-3.6327,.1231,-7.5,.0008,,,4.8,,,,,105.027
7.8989999294281,61.1782,61.7773,31.954,-23.9286,.5629,.8327,3.2652,.6474,,.0988,.1227,.0104,-11.9616,-3.6767,.1227,-7.5,.0008,,,4.8,,,,,104.982
