Volume,Block Temp,Block Rate,Iset,Imeasure,Vset,New Block Rate
5,60.1728,0.8945274735337552,6.4,6.3368,17.0657,2.201990321390648
5,60.6154,2.2019903213906455,6.4,6.0520000000000005,17.105999999999998,3.9860701434663204
5,61.4166,4.046460709499318,6.4,6.3341,17.1924,4.975247684632742
5,62.4017,4.925504697327216,6.4,6.2347,17.2902,5.617005356793663
5,63.5251,5.6169986608033415,6.4,6.3368,17.4062,6.103998544693537
5,64.7459,6.103998544693239,6.4,6.3556,17.5307,6.348498486399886
5,66.0156,6.2546776873170975,6.4,6.2723,17.6545,6.424628368747674
5,67.3198,6.6203036711615235,6.4,6.4012,17.7931,5.1446693534137315
5,68.3333,5.067504832749096,6.4,6.2481,17.9265,6.741006428724621
5,69.6815,6.740998392820949,6.4,6.3233,18.0637,6.791498380780786
5,71.0398,6.791498380780454,6.1893,6.2078,17.6736,6.706498401046051
5,72.3811,6.706498401046081,5.5226,5.6706,16.1411,6.758998388529074
5,73.7329,6.758998388529404,4.7888,4.9695,14.4222,6.6829984066492445
5,75.0695,6.6830063734114376,4.1756,4.4376,12.5688,5.851005579953614
5,76.2397,5.850998605013366,3.4006,3.6855,11.124,5.598998665094845
5,77.3595,5.5989986650945465,2.7282,2.9844,9.521,4.507998925209201
5,78.2611,4.507998925209232,2.2146,2.3585,8.2894,3.938999060869392
5,79.0489,3.938999060869576,1.9079,1.9314,7.6015,3.167499244809412
5,79.6824,3.1675030207662114,1.8683,2.1194,7.5203,2.3795022692701364
5,80.1583,2.3794994326831684,1.9701,2.0764,7.8136,1.8934995485545532
5,80.53699999999999,1.8934995485544692,2.3068,2.5223,8.706,1.6174996143580609
5,80.8605,1.6174996143580609,2.7179,2.7829,9.7873,1.517999638080671
5,81.1641,1.5179996380807386,3.1557,3.304,10.9334,1.7074995929004007
5,81.5056,1.7075016284003997,3.5179,3.7258,11.8886,1.8470017614381036
5,81.875,1.846999559641033,3.9197,4.2442,12.9447,2.175499481320591
5,82.3101,2.164676883951827,4.1232,4.3248,13.5011,2.3149256587055165
5,82.7754,2.3034637370315583,4.2774,4.5263,13.943,2.766334700737623
5,83.3342,2.8365478388629155,4.3321,4.5612,14.1351,3.1715731741617756
5,83.959,3.124002979281388,4.3447,4.717,14.2257,3.329003174784719
5,84.6248,3.328999206304779,4.2251,4.4403,13.9804,3.5854991451504943
5,85.3419,3.5854991451503353,4.0817,4.3919,13.6795,3.4499991774560255
5,86.0319,3.4499991774560255,3.92,4.0562,13.3203,3.7069991161825366
