Heat Sink Temp,Block Temp,Iset,Vset,Imeasure
35.6241,53.3412,6.5,16.6836,6.2829999999999995
35.4769,54.7071,6.5,16.8259,6.3502
35.5751,56.0807,5.1152,13.6303,5.5954
35.4277,57.4355,6.5,17.0958,6.2374
35.4769,58.7178,2.9778,8.6944,3.6774
35.4769,59.9589,-0.3215,0.7836,0.36
35.5751,61.0123,-1.4058,-1.7961,1.284
35.3785,61.7382,-0.3116,0.9203,0.5668
35.3292,62.1406,0.8523,3.7974,0.9429
35.2799,62.3211,0.9668,4.0899,1.2195
35.3785,62.4309,0.9281,4.0061,1.276
35.3292,62.5529,0.7029,3.4588,0.8972
35.1811,62.6506,0.6104,3.2454,0.7548
35.2799,62.7556,0.3824,2.7015,0.5883
35.3292,62.8215,0.2772,2.4491,0.3626
35.082,62.8703,0.1586,2.1625,0.3035
35.1811,62.8973,-0.0072,1.7590000000000001,0.2391
35.2799,62.8801,-0.0819,1.5783,0.2955
35.1316,62.8411,-0.1059,1.5202,0.1961
34.9828,62.7751,-0.0881,1.5593,0.2176
35.1316,62.7335,-0.0485,1.6569999999999998,0.094
35.1316,62.6432,-0.1101,1.492,0.1773
35.1811,62.5554,-0.1292,1.4398,0.1155
35.0324,62.4603,-0.0724,1.5685,0.1719
34.9828,62.3383,-0.0362,1.6507,0.1773
34.9828,62.2576,-0.0309,1.6636,0.27399999999999997
35.0324,62.1675,0.0403,2.0315,0.231
34.933,62.0503,0.1889,2.1932,0.2901
35.0324,61.9724,0.1758,2.0875,0.2794
34.9828,61.8846,0.2076,2.2302,0.4996
35.1316,61.826,0.231,2.2776,0.3492
35.082,61.7456,0.3281,2.5088,0.6044
34.9828,61.6945,0.3768,2.6211,0.5587
34.933,61.6361,0.4792,2.8696,0.6796
34.9828,61.608999999999995,0.4267,2.7598,0.5292
35.0324,61.5824,0.4431,2.7838,0.8354
35.082,61.5603,0.5531,3.0445,0.6313
35.1811,61.5433,0.565,3.0663,0.6689
35.1316,61.5458,0.5332,2.9949,0.6178
34.9828,61.5433,0.5432,3.013,0.7924
34.8833,61.5557,0.5236,2.9661,0.7951
35.082,61.5532,0.5326,2.9894,0.8676
34.933,61.5824,0.561,3.0621,0.8274
34.9828,61.6019,0.5628,3.074,0.736
35.0324,61.6067,1.7047,-2.4154,1.3082
35.0324,61.6117,2.0633,-3.2654,1.7031
34.9828,61.558,2.0022,-3.1271,1.8132
34.9828,61.3874,1.2590000000000001,-1.3359999999999999,1.1658
34.9828,61.1438,0.1313,1.3978,0.0645
34.933,60.9102,-0.3597,2.5788,0.4056
35.0324,60.7056,-0.8904,3.8508,1.2598
35.0324,60.5961,-0.7219,3.4298,1.0584
35.0324,60.506,-0.5546,3.0157,0.8408
