,Epoch Time,Z1 Smp Temp,Z1 BlkTemp,Z1 HeatSink,Z1 QPID,Z1 Iset,Z1 Imea,Z1 Vset,Z1 Vmea,Z1 ControlState,Z1 PID0 SP,Z1 PID0PV,Z1 PID0I,Z1 PID0 M,Z1 PID0 B,Z1 PID0 Y,Z1 PID0 FFWD,Z1 PID0 DT,Z1 PID1 SP,Z1 PID1 PV,Z1 PID1 I,Z1 PID1 M,Z1 PID1 B,Z1 PID1 Y,Z1 PID1 FFWD,Cover Temperature
2.222383103,0,59.9992,59.9949,32.7357,-14.8613,1.0284,1.1336,4.2182,3.7777,4,30,30.0024,0.0077,-40.6502,-62.4441,29.9997,25,0.0008,28.725,28.9089,3,-7.078,-16.208,28.9111,25,105.029
1.65503568,0.201999903,59.9988,59.9949,33.0002,144.898,6.5,6.2481,17.4348,15.84,,2.2658,-0.0036,0.0247,96.5988,3.1201,-0.0036,18.8833,0.0008,,,2,,,,,105.029
,0.40199995,60.0002,60.0387,32.7357,150,6.5,6.2857,17.4411,16.1794,,2.2956,0.0053,0.0247,100,7.2931,0.0052,18.8833,0.0008,,,2,,,,,105.008
,0.601999998,60.0203,60.3545,32.802,150,6.5,6.0064,17.4731,16.1857,,2.3249,0.0841,0.0247,100,11.2751,0.0833,18.8833,0.0008,,,2,,,,,105.051
,0.802000046,60.0928,61.0793,32.9343,150,6.5,6.0466,17.5464,16.236,,2.3516,0.3216,0.0247,100,15.0515,0.3198,18.8833,0.0008,,,2,,,,,105.051
,1.002000093,60.2479,62.1212,32.8682,136.552,6.5,6.0601,17.6557,16.3617,,2.3642,0.7146,0.0247,91.0348,18.3497,0.712,18.8833,0.0008,,,2,,,,,104.964
,1.203999996,60.5023,63.3943,32.8682,116.318,6.5,6.009,17.7864,16.5,,2.3642,1.1978,0.0247,77.5455,20.811,1.1948,18.8833,0.0008,,,2,,,,,104.986
,1.40199995,60.8602,64.7874,33.1318,93.4024,6.1248,5.7297,17.0109,15.7583,,2.3642,1.7089,0.0247,62.2683,22.3429,1.7059,18.8833,0.0008,,,2,,,,,104.964
,1.601999998,61.3216,66.2424,32.9343,68.7617,5.2642,5.0501,15.0421,13.992,,2.3642,2.2259,0.0247,45.8411,22.9272,2.2228,18.8833,0.0008,,,2,,,,,104.986
,1.802000046,61.8793,67.7251,32.802,44.348,4.3062,4.1851,12.8272,11.9177,,2.3642,2.7126,0.0247,29.5654,22.5872,2.7098,18.8833,0.0008,,,2,,,,,104.986
,2.002000093,62.5225,69.1671,32.8682,21.631,3.3025,3.2234,10.4904,9.768,,2.3642,3.1395,0.0247,14.4207,21.4246,3.137,18.8833,0.0008,,,2,,,,,104.943
,2.201999903,63.2311,70.4294,33.1974,1.9135,2.2972,2.2967,8.1018,7.4926,,2.3642,3.4863,0.0247,1.2756,19.5679,3.4845,18.8833,0.0008,,,2,,,,,104.921
,2.40199995,63.9814,71.4966,32.6028,-12.974,1.4666,1.6117,6.1238,5.6194,,2.3442,3.7004,0.0247,-8.6493,17.198,3.6995,18.8833,0.0008,,,2,,,,,104.986
,2.601999998,64.7487,72.3278,32.802,-22.4416,0.9238,1.0208,4.8568,4.4126,,2.3216,3.7921,0.0247,-14.961,14.5407,3.7918,18.8833,0.0008,,,2,,,,,104.943
,2.802000046,65.5071,72.9121,33.066,-26.2449,0.6884,0.8488,4.3062,3.8783,,2.299,3.767,0.0247,-17.4966,11.8205,3.7673,18.8833,0.0008,,,2,,,,,104.943
,3.002000093,66.2346,73.2691,33.066,-24.2384,0.8174,0.83,4.6445,4.2051,,2.2782,3.6305,0.0247,-16.1589,9.2434,3.6315,18.8833,0.0008,,,2,,,,,105.029
,3.201999903,66.914,73.4278,32.8682,-17.4768,1.234,1.2652,5.685,5.192,,2.2603,3.4097,0.0247,-11.6512,6.9902,3.4113,18.8833,0.0008,,,2,,,,,105.029
,3.40199995,67.3862,73.4575,32.9343,-6.3417,1.9012,1.7219,7.3587,6.776,,2.2468,3.1168,0.0247,-4.2278,5.2035,3.1186,18.8833,0.0008,,,2,,,,,104.943
,3.601999998,67.9634,73.4229,32.8682,6.1437,2.5863,2.4552,9.0608,8.3977,,2.2378,2.8169,0.0247,4.0958,3.9459,2.8187,18.8833,0.0008,,,2,,,,,105.094
,3.802000046,68.4826,73.4179,32.8682,18.3435,3.2155,3.022,10.6324,9.8686,,2.2332,2.5408,0.0247,12.229,3.2149,2.5423,18.8833,0.0008,,,2,,,,,104.964
,4.002000093,68.9534,73.4724,32.8682,28.5158,3.684,3.6425,11.7881,10.9497,,2.2321,2.3228,0.0247,19.0105,2.9173,2.324,18.8833,0.0008,,,2,,,,,105.008
,4.201999903,69.3888,73.6459,32.9343,36.9585,4.0774,3.8923,12.7911,11.8674,,2.2338,2.1531,0.0247,24.639,2.9731,2.1539,18.8833,0.0008,,,2,,,,,104.964
,4.40199995,69.8033,73.9338,32.7357,42.0291,4.2966,4.177,13.3601,12.4394,,2.2371,2.0599,0.0247,28.0194,3.2481,2.0602,18.8833,0.0008,,,2,,,,,104.899
,4.601999998,70.2107,74.2416,32.7357,44.2993,4.4041,4.2523,13.6715,12.6971,,2.241,2.0274,0.0247,29.5329,3.634,2.0274,18.8833,0.0008,,,2,,,,,104.964
,4.802000046,70.6248,74.753,32.802,43.2198,4.3743,4.2093,13.6542,12.716,,2.2443,2.0622,0.0247,28.8132,3.9993,2.0619,18.8833,0.0008,,,2,,,,,105.008
,5.002000093,71.0545,75.3696,32.6028,39.4416,4.2126,4.1959,13.302,12.3954,,2.2459,2.1463,0.0247,26.2944,4.2416,2.1457,18.8833,0.0008,,,2,,,,,105.008
,5.201999903,71.5063,76.0662,33.066,33.9734,3.9736,3.7634,12.76,11.8926,,2.2454,2.2581,0.0247,22.6489,4.2896,2.2575,18.8833,0.0008,,,2,,,,,105.008
,5.40199995,71.9829,76.7937,32.9343,29.4366,3.7094,3.5941,12.1662,11.3394,,2.2425,2.3735,0.0247,18.5885,4.1261,2.3728,18.8833,0.0008,,,2,,,,,105.073
,5.601999998,72.4847,77.5169,32.802,20.6575,3.3681,3.2879,11.3623,10.5851,,2.237,2.5019,0.0247,13.7717,3.724,2.5011,18.8833,0.0008,,,2,,,,,104.986
,5.802000046,73.0066,78.2307,33.0002,15.949,3.1584,3.1133,10.8924,10.1326,,2.2294,2.5968,0.0247,9.8432,3.1061,2.5964,18.8833,0.0008,,,2,,,,,104.986
,6.002000093,73.5427,78.8806,32.802,10.6929,2.8364,2.7104,10.1487,9.4286,,2.2199,2.6732,0.0247,6.2391,2.331,2.6728,18.8833,0.0008,,,2,,,,,105.008
,6.201999903,74.0862,79.4659,32.9343,6.8487,2.715,2.6083,9.8364,9.1269,,2.2097,2.6982,0.0247,4.2694,1.4434,2.6982,18.8833,0.0008,,,2,,,,,105.008
,6.40199995,74.6291,79.9817,32.8682,5.4727,2.6518,2.6244,9.7144,9.0326,,2.1992,2.6892,0.0247,3.3225,0.5474,2.6892,18.8833,0.0008,,,2,,,,,105.008
,6.601999998,75.1649,80.4176,32.7357,4.658,2.5972,2.5009,9.6487,8.9446,,2.1892,2.6565,0.0247,3.2374,-0.3321,2.6568,18.8833,0.0008,,,2,,,,,104.943
,6.802000046,75.6873,80.7935,32.802,6.2748,2.6941,2.56,9.9335,9.2211,,2.1803,2.5891,0.0247,4.3844,-1.1183,2.5894,18.8833,0.0008,,,2,,,,,104.964
,7.002000093,76.1923,81.1046,32.6028,8.9098,2.8348,2.8339,10.3176,9.592,,2.1731,2.5031,0.0247,6.3368,-1.773,2.5036,18.8833,0.0008,,,2,,,,,104.964
,7.201999903,76.6783,81.4057,32.6693,12.781,3.0376,2.8528,10.8614,10.0823,,2.168,2.4013,0.0247,9.0365,-2.2579,2.4018,18.8833,0.0008,,,2,,,,,104.986
,7.40199995,77.1457,81.6971,32.6028,16.2235,3.1987,3.2315,11.2841,10.4971,,2.1646,2.3191,0.0247,11.2878,-2.5849,2.3195,18.8833,0.0008,,,2,,,,,104.986
,7.601999998,77.5964,81.9984,32.802,20.0968,3.3952,3.2073,11.816,11,,2.1633,2.2272,0.0247,14.113,-2.7618,2.2277,18.8833,0.0008,,,2,,,,,105.008
,7.802000046,78.0333,82.3099,32.6028,23.7009,3.5587,3.535,12.2509,11.4211,,2.1634,2.1617,0.0247,16.1962,-2.7936,2.162,18.8833,0.0008,,,2,,,,,105.008
,8.002000093,78.4617,82.6669,32.6028,26.0763,3.6719,3.535,12.5715,11.7229,,2.1647,2.123,0.0247,17.5363,-2.7377,2.1231,18.8833,0.0008,,,2,,,,,105.094
,8.201999903,78.8856,83.0646,32.6693,27.2922,3.7248,3.6586,12.7373,11.8737,,2.1664,2.1074,0.0247,18.187,-2.6324,2.1073,18.8833,0.0008,,,2,,,,,105.008
,8.40199995,79.3093,83.5075,32.6693,27.6737,3.7459,3.5807,12.832,11.9743,,2.1681,2.1064,0.0247,18.3885,-2.514,2.1063,18.8833,0.0008,,,2,,,,,104.964
,8.601999998,79.7369,83.976,32.7357,27.2637,3.725,3.7177,12.8166,11.9366,,2.1692,2.1161,0.0247,17.9224,-2.4147,2.124,18.8833,0.0008,,,2,,,,,105.008
,8.802000046,80.1705,84.4802,32.9343,25.7449,3.6569,3.5243,12.6868,11.836,,2.1696,2.1487,0.0247,17.1633,-2.3721,2.1598,18.8833,0.0008,,,2,,,,,104.964
,9.002000093,80.6114,84.9898,32.6028,24.055,3.5802,3.5458,12.5353,11.6914,,2.169,2.1823,0.0247,16.0366,-2.3946,2.1941,18.8833,0.0008,,,2,,,,,105.008
,9.201999903,81.0604,85.525,32.5361,21.7654,3.478,3.39,12.3232,11.4714,,2.1671,2.2238,0.0247,14.5103,-2.4579,2.2357,18.8833,0.0008,,,2,,,,,104.921
,9.40199995,81.5156,86.0405,32.5361,19.6724,3.3864,3.304,12.139,11.2954,,2.1641,2.2592,0.0247,13.1149,-2.6111,2.2643,18.8833,0.0008,,,2,,,,,105.051
,9.601999998,81.9751,86.5209,32.6693,18.2819,3.312,3.1832,11.9805,11.1571,,2.1602,2.2778,0.0247,12.1879,-2.8152,2.2778,18.8833,0.0008,,,2,,,,,105.008
,9.802000046,82.4381,87.0118,32.3355,16.8805,3.2452,3.253,11.8511,11.0629,,2.1554,2.2941,0.0247,11.2537,-3.0595,2.294,18.8833,0.0008,,,2,,,,,105.051
,10.00200009,82.901,87.4728,32.6693,16.1313,3.2147,3.1106,11.8176,11.0126,,2.1503,2.2964,0.0247,10.5766,-3.3972,2.2981,18.8833,0.0008,,,2,,,,,105.029
,10.2019999,83.362,87.9036,32.5361,15.7552,3.1959,3.167,11.8055,11.0126,,2.1451,2.2906,0.0247,10.5035,-3.6645,2.2876,18.8833,0.0008,,,2,,,,,104.986
,10.40199995,83.8187,88.3093,32.7357,16.1426,3.219,3.159,11.9047,11.0754,,2.1404,2.271,0.0247,10.7618,-3.9072,2.2648,18.8833,0.0008,,,2,,,,,104.964
,10.602,84.2695,88.6899,32.5361,16.9571,3.2451,3.0972,11.9915,11.1949,,2.1364,2.2444,0.0247,11.3047,-4.0643,2.2446,18.8833,0.0008,,,2,,,,,105.008
,10.80200005,84.7144,89.0809,32.4694,18.1925,3.3129,3.1966,12.2104,11.3771,,2.1333,2.2115,0.0247,12.1283,-4.2334,2.2118,18.8833,0.0008,,,2,,,,,105.051
,11.00200009,85.1529,89.4569,32.5361,19.2903,3.3623,3.3255,12.3691,11.4903,,2.1312,2.1831,0.0247,12.8602,-4.3471,2.1833,18.8833,0.0008,,,2,,,,,105.029
,11.2019999,85.5849,89.828,32.5361,20.6515,3.4204,3.3604,12.547,11.6789,,2.1302,2.1529,0.0247,13.7677,-4.4101,2.1531,18.8833,0.0008,,,2,,,,,105.008
,11.40199995,86.0108,90.1991,32.5361,22.1556,3.4841,3.3604,12.7398,11.88,,2.1308,2.1228,0.0247,14.7704,-4.4187,2.1165,18.8833,0.0008,,,2,,,,,104.921
,11.602,86.4326,90.5861,32.7357,23.7091,3.5491,3.5727,12.9372,12.0623,,2.1327,2.0943,0.0247,15.8061,-4.3702,2.0926,18.8833,0.0008,,,2,,,,,105.008
