Epoch Time,Z1 Smp Temp,Z1 BlkTemp,Z1 HeatSink,Z1 QPID,Z1 Iset,Z1 Imea,Z1 Vset,Z1 Vmea,Z1 ControlState,Z1 PID0 SP,Z1 PID0PV,Z1 PID0I,Z1 PID0 M,Z1 PID0 B,Z1 PID0 Y,Z1 PID0 FFWD,Z1 PID0 DT,Z1 PID1 SP,Z1 PID1 PV,Z1 PID1 I,Z1 PID1 M,Z1 PID1 B,Z1 PID1 Y,Z1 PID1 FFWD,Cover Temperature
0,52.7035,52.6942,42.1713,12.2402,1.7293,2.0093,4.8941,4.4566,,.3688,-.0016,.0198,6.9796,.6166,-.0016,-8.3333,.0008,,,2.5,,,,,105.027
0.200000047683716,52.7031,52.7038,41.9992,13.4876,1.7971,1.9099,5.017,4.6011,,.3727,-.0003,.0198,7.5682,1.1159,-.0004,-8.3333,.0009,,,2.5,,,,,105.095
0.398999929428101,52.7077,52.8094,41.9561,13.0772,1.7768,1.8186,4.9733,4.62,,.3753,.03,.0198,6.9418,1.5967,.0299,-8.3333,.0009,,,2.5,,,,,104.982
0.599999904632568,52.725,53.0044,42.0423,9.8673,1.6131,1.883,4.5931,4.3057,,.379,.0965,.0198,4.7862,2.0076,.0964,-8.3333,.0009,,,2.5,,,,,104.959
0.800999879837036,52.7606,53.2811,41.9992,4.4144,1.332,1.5768,3.9407,3.7463,,.381,.1867,.0198,1.5696,2.3093,.1865,-8.3333,.0008,,,2.5,,,,,105.095
0.999000072479248,52.8146,53.5746,41.9561,-1.755,.9924,1.2545,3.1397,3.0297,,.3818,.2554,.0198,-.975,2.4558,.2787,-8.3333,.0008,,,2.5,,,,,104.982
1.20000004768372,52.8863,53.8564,41.9992,-7.991,.6252,.7736,2.2592,2.1686,,.3821,.3663,.0198,-5.2592,2.5491,.3661,-8.3333,.0008,,,2.5,,,,,105.004
1.40000009536743,52.9742,54.1358,42.2571,-13.8552,.2793,.4996,1.4396,1.3954,,.3815,.4446,.0198,-8.4362,2.4995,.4445,-8.3333,.0008,,,2.5,,,,,105.004
1.59999990463257,53.0733,54.3406,42.1713,-18.3493,-.0017,.1988,.7641,.7417,,.3799,.4955,.0198,-10.598,2.3652,.4955,-8.3333,.0009,,,2.5,,,,,105.027
1.79999995231628,53.1794,54.5143,42.1283,-21.168,-.1678,.0376,.3794,.1194,,.3782,.5275,.0198,-12.1101,2.1804,.5275,-8.3333,.0008,,,2.5,,,,,104.959
2,53.2882,54.6322,42.0423,-22.9728,-.2942,.0349,.0654,.0314,,.3768,.5391,.0198,-12.7627,1.9666,.539,-8.3333,.0008,,,2.5,,,,,105.027
2.20000004768372,53.395,54.7046,41.8698,-22.9034,-.2862,.0376,.0895,.0126,,.375,.5317,.0198,-12.7241,1.7567,.5282,-8.3333,.0008,,,2.5,,,,,105.049
2.40000009536743,53.4976,54.7456,42.0423,-21.9613,-.2116,.0269,.2851,.044,,.3735,.5124,.0198,-12.2007,1.6127,.5061,-8.3333,.0008,,,2.5,,,,,105.004
2.59999990463257,53.594,54.7506,41.9129,-20.1525,-.1072,.0322,.5262,.0754,,.3723,.482,.0198,-10.9322,1.4182,.4743,-8.3333,.0008,,,2.5,,,,,105.049
2.79999995231628,53.6836,54.7552,41.8698,-17.9645,.0367,.1531,.8797,.5657,,.3714,.4477,.0198,-9.7126,1.3107,.44,-8.3333,.0008,,,2.5,,,,,105.027
3,53.766,54.7456,42.0423,-15.5572,.1919,.2686,1.2603,.8863,,.371,.4116,.0198,-8.6429,1.2616,.4117,-8.3333,.0008,,,2.5,,,,,105.072
3.20000004768372,53.842,54.7506,41.9992,-13.2412,.3374,.4701,1.6152,1.2509,,.3709,.3783,.0198,-7.3562,1.2368,.3784,-8.3333,.0008,,,2.5,,,,,105.095
3.40000009536743,53.9136,54.7842,41.9992,-11.5672,.4455,.4969,1.8835,1.5023,,.3711,.3551,.0198,-6.4262,1.2479,.3552,-8.3333,.0008,,,2.5,,,,,105.027
3.59999990463257,53.9816,54.8229,41.9561,-10.2724,.5404,.7199,2.1306,1.804,,.3716,.3381,.0198,-5.5841,1.2978,.3354,-8.3333,.0008,,,2.5,,,,,104.982
3.80399990081787,54.0477,54.8519,41.9992,-9.5427,.5782,.6313,2.2168,1.8543,,.3721,.3297,.0198,-5.3015,1.3384,.3297,-8.3333,.0008,,,2.5,,,,,105.049
4,54.114,54.9316,41.9561,-9.1397,.6035,.7656,2.2816,1.9549,,.3727,.3258,.0198,-5.0776,1.4005,.3258,-8.3333,.0008,,,2.5,,,,,104.982
4.20000004768372,54.1645,55.0159,41.9992,-9.4056,.5965,.7844,2.2755,1.9549,,.3732,.3316,.0198,-5.2253,1.458,.3316,-8.3333,.0008,,,2.5,,,,,105.049
