Epoch Time,Z1 Smp Temp,Z1 BlkTemp,Z1 HeatSink,Z1 QPID,Z1 Iset,Z1 Imea,Z1 Vset,Z1 Vmea,Z1 ControlState,Z1 PID0 SP,Z1 PID0PV,Z1 PID0I,Z1 PID0 M,Z1 PID0 B,Z1 PID0 Y,Z1 PID0 FFWD,Z1 PID0 DT,Z1 PID1 SP,Z1 PID1 PV,Z1 PID1 I,Z1 PID1 M,Z1 PID1 B,Z1 PID1 Y,Z1 PID1 FFWD,Cover Temperature
0,46.8772,52.0382,35.6241,180,6.5,6.4818,16.5844,15.3183,,2.7716,1.0126,0.0104,100,9.3141,1.0122,60.4994,0.0008,,,4.8,,,,,104.959
0.200000048,47.1216,53.3412,35.6241,180,6.5,6.283,16.6836,15.4629,,2.7716,1.2354,0.0104,100,10.3118,1.2351,60.4994,0.0009,,,4.8,,,,,104.959
0.400000095,47.4104,54.7071,35.4769,180,6.5,6.3502,16.8259,15.5949,,2.7716,1.4519,0.0104,,,,,0.0009,30.8868,,4.8,,,27.5128,5.5556,104.936
0.598999977,47.7427,56.0807,35.5751,74.609,5.1152,5.5954,13.6303,13.9103,1,5.9303,6.6677,6.6677,45.132,-0.2145,6.8191,56.8352,0.0008,30.8868,28.206,4.8,,,27.5128,5.5556,104.936
0.799999952,48.1176,57.4355,35.4277,137.03,6.5,6.2374,17.0958,15.796,1,5.0519,6.7336,6.7781,21.6483,-0.2145,6.7781,53.9201,0.0008,30.8868,28.8909,4.8,36.7499,7.1484,28.7464,5.5556,104.936
1.000999928,48.5307,58.7178,35.4769,23.88,2.9778,3.6774,8.6944,10.1389,1,4.1348,6.2,6.2,16.2191,-0.2145,6.2,50.8542,0.0008,30.8868,29.513,4.8,-8.1554,6.3048,29.3298,5.5556,104.982
1.200000048,48.9784,59.9589,35.4769,-33.0385,-0.3215,0.36,0.7836,2.376,1,3.6662,6.2266,6.2266,5.5894,-0.2145,6.1755,47.6796,0.0008,30.8868,30.1192,4.8,-37.4733,0.1746,29.9434,5.5556,105.004
1.398999929,49.4541,61.0123,35.5751,-48.6469,-1.4058,1.284,-1.7961,-1.5777,1,3.1213,5.4282,5.4282,6.5609,-0.2145,5.4282,45.2236,0.0009,30.8868,30.6109,4.8,-51.4877,-8.0157,30.471,5.5556,104.959
1.600000143,49.9457,61.7382,35.3785,-33.8584,-0.3116,0.5668,0.9203,-0.4589,1,2.6589,4.0734,4.0734,18.142,-0.2145,4.0734,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,105.049
1.799999952,50.4383,62.1406,35.3292,-16.4555,0.8523,0.9429,3.7974,3.3063,2,30.8868,31.0703,2.3024,-32.911,-20.2334,31.0138,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.936
2.000999928,50.9204,62.3211,35.2799,-14.7083,0.9668,1.2195,4.0899,3.7966,2,30.8868,31.1605,1.0242,-29.4166,-24.5323,31.1309,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.959
2.19900012,51.3883,62.4309,35.3785,-15.4436,0.9281,1.276,4.0061,3.9914,2,30.8868,31.2155,0.5828,-30.8872,-28.2123,31.1963,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.823
2.398999929,51.8418,62.5529,35.3292,-19.0196,0.7029,0.8972,3.4588,3.2623,2,30.8868,31.2765,0.539,-38.0392,-32.1771,31.2562,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.891
2.598999977,52.2817,62.6506,35.1811,-20.6246,0.6104,0.7548,3.2454,2.8097,2,30.8868,31.3253,0.5594,-41.2492,-36.5012,31.3124,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.982
2.799999952,52.7078,62.7556,35.2799,-24.3138,0.3824,0.5883,2.7015,2.5206,2,30.8868,31.3778,0.5252,-48.6275,-41.0889,31.3638,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.982
2.999000072,53.1199,62.8215,35.3292,-25.9582,0.2772,0.3626,2.4491,2.0931,2,30.8868,31.4108,0.4054,-51.9165,-45.7228,31.4031,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.982
3.19900012,53.5176,62.8703,35.082,-27.7814,0.1586,0.3035,2.1625,1.7223,2,30.8868,31.4351,0.3326,-55.5629,-50.3658,31.4322,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.846
3.398999929,53.9002,62.8973,35.1811,-30.2776,-0.0072,0.2391,1.759,1.6217,2,30.8868,31.4487,0.1264,-60.5551,-54.7483,31.4457,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.982
3.598999977,54.2667,62.8801,35.2799,-31.4193,-0.0819,0.2955,1.5783,1.6217,2,30.8868,31.4401,-0.0794,-62.8386,-58.672,31.44,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,105.004
3.799999952,54.6172,62.8411,35.1316,-31.7952,-0.1059,0.1961,1.5202,1.5149,2,30.8868,31.4205,-0.1388,-63.5904,-62.3039,31.4251,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.914
3.999000072,54.8692,62.7751,34.9828,-31.4977,-0.0881,0.2176,1.5593,1.3829,2,30.8868,31.3876,-0.2347,-62.9954,-65.4557,31.3974,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.936
4.19900012,55.1908,62.7335,35.1316,-30.9565,-0.0485,0.094,1.657,1.2257,2,30.8868,31.3473,-0.3005,-61.9129,-68.1886,31.3619,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.982
4.400000095,55.4961,62.6432,35.1316,-31.6949,-0.1101,0.1773,1.492,1.2697,2,30.8868,31.3094,-0.4229,-63.3898,-70.5341,31.3222,20,0.0008,30.8868,30.9374,4.8,-52.462,-15.7793,30.8456,5.5556,104.891
