Epoch Time,Z1 Smp Temp,Z1 BlkTemp,Z1 HeatSink,Z1 QPID,Z1 Iset,Z1 Imea,Z1 Vset,Z1 Vmea,Z1 ControlState,Z1 PID0 SP,Z1 PID0PV,Z1 PID0I,Z1 PID0 M,Z1 PID0 B,Z1 PID0 Y,Z1 PID0 FFWD,Z1 PID0 DT,Z1 PID1 SP,Z1 PID1 PV,Z1 PID1 I,Z1 PID1 M,Z1 PID1 B,Z1 PID1 Y,Z1 PID1 FFWD,Cover Temperature
0,45.6824,55.0376,36.0145,94.7059,5.7882,5.7861,15.1344,14.6897,,3.8371,3.6139,0.0198,60.1841,22.5041,3.6881,32.141,0.0008,,,2.5,,,,,105.027
0.199999809,46.4694,56.4361,35.8684,79.3968,5.268,5.4423,14.0111,13.64,,3.8371,3.8727,0.0198,52.9312,22.4887,3.9364,32.141,0.0008,,,2.5,,,,,104.959
0.399999857,47.2999,57.76,35.9171,66.2109,4.8067,4.768,13.0247,12.6531,,3.8371,4.0903,0.0198,44.1406,22.1732,4.1479,32.141,0.0008,,,2.5,,,,,104.982
0.599999905,48.1667,59.0355,35.8684,54.3066,4.3592,4.6794,12.0577,11.7166,,3.8371,4.278,0.0198,36.2044,21.6044,4.3266,32.141,0.0008,,,2.5,,,,,105.027
0.799999952,49.0602,60.2142,35.6241,45.852,4.0408,4.1556,11.397,11.0503,,3.8371,4.4037,0.0198,30.568,21.0634,4.4289,32.141,0.0008,,,2.5,,,,,105.004
1,49.9709,61.2803,35.7709,39.8106,3.7894,3.9165,10.8693,10.472,,3.8371,4.4857,0.0198,26.5404,20.2325,4.4856,32.141,0.0008,,,2.5,,,,,104.982
1.199999809,50.8885,62.265,35.5751,34.5066,3.5733,3.7258,10.4267,10.0006,,3.8371,4.5525,0.0198,23.0044,19.3051,4.5524,32.141,0.0008,,,2.5,,,,,104.914
1.399999857,51.8073,63.1586,35.6241,33.8922,3.5831,3.6694,10.538,10.0634,,3.8371,4.54,0.0198,22.5948,18.3573,4.54,32.141,0.0008,,,2.5,,,,,104.936
1.599999905,52.7201,63.9969,35.5751,34.0952,3.611,3.8359,10.6763,10.12,,3.8371,4.5143,0.0198,22.7302,17.44,4.5143,32.141,0.0008,,,2.5,,,,,105.049
1.799999952,53.6224,64.7287,35.6731,35.6949,3.7025,3.6344,10.964,10.3651,,3.8371,4.4666,0.0198,23.7966,16.5779,4.4666,32.141,0.0008,,,2.5,,,,,104.914
2,54.5115,65.4492,35.4277,38.7021,3.8696,4.0024,11.4481,10.8303,,3.8371,4.3968,0.0198,25.8014,15.7973,4.3968,32.141,0.0008,,,2.5,,,,,104.914
2.199999809,55.1689,66.1432,35.2799,41.3482,4.0081,4.1824,11.8539,11.2263,,3.8371,4.3345,0.0198,27.5654,15.1089,4.3345,32.141,0.0008,,,2.5,,,,,105.027
2.399999857,56.0342,66.6834,35.4277,44.7422,4.1735,4.2952,12.3274,11.5846,,3.8371,4.2634,0.0198,29.8282,14.5068,4.2635,32.141,0.0008,,,2.5,,,,,105.004
2.599999905,56.887,67.3985,35.3292,47.4987,4.3023,4.451,12.7078,11.9994,,3.8371,4.2038,0.0198,31.6658,13.9889,4.2039,32.141,0.0008,,,2.5,,,,,104.959
2.799999952,57.7288,68.1068,35.3785,49.1557,4.4159,4.4107,13.0518,12.3703,,3.8371,4.151,0.0198,33.3074,13.5442,4.1511,32.141,0.0008,,,2.5,,,,,104.982
3,58.5622,68.8357,35.1811,51.6466,4.4946,4.6901,13.3878,12.6909,,3.8371,4.1073,0.0198,34.6231,13.164,4.1074,32.141,0.0008,,,2.5,,,,,105.027
3.199999809,59.3911,69.6049,35.0324,51.8948,4.5284,4.6444,13.5342,12.8166,,3.8371,4.0945,0.0198,34.7757,12.8142,4.0945,32.141,0.0008,,,2.5,,,,,105.049
3.399999857,60.2168,70.4295,34.9828,52.7141,4.5826,4.7438,13.6711,13.0366,,3.8371,4.0698,0.0198,35.4432,12.4875,4.0699,32.141,0.0009,,,2.5,,,,,104.982
3.599999905,61.0397,71.2104,34.9828,53.133,4.6133,4.7358,13.8208,13.156,,3.8371,4.0566,0.0198,35.6501,12.1805,4.0567,32.141,0.0009,,,2.5,,,,,105.004
3.799999952,61.8621,72.0566,34.933,52.4496,4.597,4.7331,13.8574,13.2691,,3.8371,4.0769,0.0198,34.4516,11.8733,4.0769,32.141,0.0008,,,2.5,,,,,104.959
4,62.6853,72.8694,35.082,50.9458,4.549,4.7009,13.8137,13.1686,,3.8371,4.0786,0.0198,34.1308,11.5425,4.0787,32.141,0.0009,,,2.5,,,,,104.982
4.199999809,63.5108,73.7228,34.9828,50.679,4.5428,4.7143,13.8721,13.288,,3.8371,4.0799,0.0198,33.3667,11.2202,4.0881,32.141,0.0008,,,2.5,,,,,104.982
4.399999857,64.335,74.5325,34.7837,49.4637,4.5049,4.7734,13.8528,13.2,,3.8371,4.0931,0.0198,32.5034,10.8712,4.101,32.141,0.0008,,,2.5,,,,,105.027
4.599999905,65.1612,75.3782,34.7837,48.4713,4.4833,4.6068,13.8833,13.288,,3.8371,4.1001,0.0198,32.3399,10.5195,4.0976,32.141,0.0009,,,2.5,,,,,104.914
4.799999952,65.9865,76.1998,34.8335,49.0721,4.5152,4.7304,14.0378,13.4011,,3.8371,4.0822,0.0198,32.3339,10.1859,4.0883,32.141,0.0008,,,2.5,,,,,104.891
5,66.8114,77.025,34.5837,47.9628,4.487,4.6525,14.0496,13.42,,3.8371,4.0919,0.0198,31.9752,9.8375,4.1031,32.141,0.0008,,,2.5,,,,,104.982
5.199999809,67.6349,77.8039,34.6838,47.4917,4.4633,4.6874,14.0527,13.4326,,3.8371,4.0907,0.0198,31.6612,9.4963,4.0946,32.141,0.0008,,,2.5,,,,,105.004
5.399999857,68.457,78.6461,34.6338,47.3039,4.466,4.674,14.1397,13.5206,,3.8371,4.0856,0.0198,31.5359,9.1627,4.0892,32.141,0.0008,,,2.5,,,,,104.959
5.599999905,69.2769,79.4194,34.5837,47.5144,4.4885,4.5531,14.2745,13.6337,,3.8371,4.0742,0.0198,31.6763,8.8413,4.0772,32.141,0.0008,,,2.5,,,,,105.027
5.799999952,70.0947,80.2185,34.4834,47.4968,4.4911,4.7841,14.3537,13.7091,,3.8371,4.0662,0.0198,31.6645,8.6094,4.0709,32.141,0.0008,,,2.5,,,,,105.004
6,70.9102,80.9986,34.5336,47.9279,4.5061,4.7465,14.4586,13.816,,3.8371,4.0518,0.0198,31.9519,8.3115,4.0518,32.141,0.0008,,,2.5,,,,,104.959
6.199999809,71.7223,81.7696,34.4332,49.4533,4.5685,4.7922,14.6871,14.08,,3.8371,4.0192,0.0198,32.9689,8.056,4.0192,32.141,0.0008,,,2.5,,,,,104.982
6.399999857,72.5335,82.5564,34.2821,48.5551,4.5362,4.631,14.6787,13.9794,,3.8371,4.0288,0.0198,32.3701,7.8027,4.0288,32.141,0.0008,,,2.5,,,,,105.049
6.599999905,73.3431,83.3468,34.4332,50.1891,4.603,4.7707,14.9228,14.2183,,3.8371,3.996,0.0198,33.4594,7.5697,3.9961,32.141,0.0008,,,2.5,,,,,104.959
6.799999952,74.1485,84.0903,34.1811,50.667,4.6163,4.8701,15.0207,14.3251,,3.8371,3.9824,0.0198,33.778,7.3667,3.9824,32.141,0.0008,,,2.5,,,,,105.004
