Epoch Time,Z1 Smp Temp,Z1 BlkTemp,Z1 HeatSink,Z1 QPID,Z1 Iset,Z1 Imea,Z1 Vset,Z1 Vmea,Z1 ControlState,Z1 PID0 SP,Z1 PID0PV,Z1 PID0I,Z1 PID0 M,Z1 PID0 B,Z1 PID0 Y,Z1 PID0 FFWD,Z1 PID0 DT,Z1 PID1 SP,Z1 PID1 PV,Z1 PID1 I,Z1 PID1 M,Z1 PID1 B,Z1 PID1 Y,Z1 PID1 FFWD,Cover Temperature
0,60.0023,59.9955,29.2714,-27.6698,0.4086,0.9053,2.9253,0.6366,4,30,30.0026,-0.0653,-34.5872,-0.0912,30.001,-32.5,0.0008,,27.4983,4.8392,,,29.9879,-32.5,104.914
0.600000143,60.0034,60.0392,29.3842,-8.0302,1.6645,2.0066,5.9554,1.9233,,0.1001,0.0075,0.0198,-4.0151,0.459,0.0074,-7.5,0.0008,,,2.5,,,,,105.049
0.800000191,60.0101,60.1316,29.2148,-9.8078,1.5543,1.789,5.6923,1.6037,,0.1001,0.0382,0.0198,-4.9039,0.5951,0.038,-7.5,0.0008,,,2.5,,,,,105.072
1,60.0262,60.2823,29.2148,-12.0558,1.3714,1.7434,5.265,1.6869,,0.1001,0.0866,0.0198,-6.451,0.6538,0.0863,-7.5,0.0008,,,2.5,,,,,104.982
1.200000048,60.0537,60.4646,29.2148,-16.5899,1.1511,1.2545,4.75,1.3297,,0.1001,0.1415,0.0198,-8.295,0.6102,0.1412,-7.5,0.0008,,,2.5,,,,,104.914
1.400000095,60.0915,60.6154,29.3279,-19.375,0.9873,1.241,4.23,1.1578,,0.1001,0.1943,0.0198,-10.1806,0.4699,0.194,-7.5,0.0008,,,2.5,,,,,105.004
1.600000143,60.1398,60.7713,29.2714,-23.2135,0.7493,1.0234,3.8167,1.0261,,0.1,0.2433,0.0198,-12.0199,0.233,0.2431,-7.5,0.0009,,,2.5,,,,,104.959
1.800000191,60.1959,60.9295,29.1016,-26.4148,0.5312,0.8327,3.2903,0.5695,,0.0999,0.2805,0.0198,-13.5472,-0.0774,0.2803,-7.5,0.0008,,,2.5,,,,,105.004
2,60.2566,61.0171,29.0448,-28.8271,0.3906,0.5184,2.9756,0.6447,,0.0997,0.3022,0.0198,-14.6081,-0.4414,0.3021,-7.5,0.0009,,,2.5,,,,,104.982
2.210999966,60.3192,61.0854,29.2714,-30.4106,0.2867,0.4755,2.7312,0.5346,,0.0996,0.3089,0.0198,-15.2053,-0.8246,0.3089,-7.5,0.0008,,,2.5,,,,,105.027
2.400000095,60.3796,61.1097,29.1583,-30.4419,0.2715,0.5265,2.6817,0.3734,,0.0995,0.2976,0.0198,-15.1944,-1.1989,0.2976,-7.5,0.0009,,,2.5,,,,,104.959
